task_id,category,tokenizer,language,token_count,char_count,pass1
task-a-0001,arithmetic,cl100k_base,toke,72,172,1.0
task-a-0002,arithmetic,cl100k_base,toke,72,187,1.0
task-a-0003,arithmetic,cl100k_base,toke,82,200,1.0
task-a-0004,arithmetic,cl100k_base,toke,86,213,1.0
task-a-0005,arithmetic,cl100k_base,toke,84,209,0.0
task-a-0006,arithmetic,cl100k_base,toke,91,204,-1.0
task-a-0007,arithmetic,cl100k_base,toke,73,189,1.0
task-a-0008,arithmetic,cl100k_base,toke,112,252,1.0
task-a-0009,arithmetic,cl100k_base,toke,140,293,1.0
task-a-0010,arithmetic,cl100k_base,toke,94,240,0.0
task-a-0011,arithmetic,cl100k_base,toke,129,283,0.0
task-a-0012,arithmetic,cl100k_base,toke,74,184,-1.0
task-a-0013,arithmetic,cl100k_base,toke,61,152,-1.0
task-a-0014,arithmetic,cl100k_base,toke,55,136,-1.0
task-a-0015,arithmetic,cl100k_base,toke,922,1958,-1.0
task-a-0016,arithmetic,cl100k_base,toke,97,230,1.0
task-a-0017,arithmetic,cl100k_base,toke,94,232,0.0
task-a-0018,arithmetic,cl100k_base,toke,93,227,1.0
task-a-0019,arithmetic,cl100k_base,toke,93,228,0.0
task-a-0020,arithmetic,cl100k_base,toke,82,196,1.0
task-a-0021,arithmetic,cl100k_base,toke,78,189,1.0
task-a-0022,arithmetic,cl100k_base,toke,78,189,1.0
task-a-0023,arithmetic,cl100k_base,toke,128,290,0.0
task-a-0024,arithmetic,cl100k_base,toke,93,220,1.0
task-a-0025,arithmetic,cl100k_base,toke,62,160,1.0
task-a-0026,arithmetic,cl100k_base,toke,92,197,0.0
task-a-0027,arithmetic,cl100k_base,toke,56,144,0.0
task-a-0028,arithmetic,cl100k_base,toke,60,152,0.0
task-a-0029,arithmetic,cl100k_base,toke,71,163,1.0
task-a-0030,arithmetic,cl100k_base,toke,52,128,1.0
task-a-0031,arithmetic,cl100k_base,toke,65,166,-1.0
